,Chapter,Test Case,hash,Type,Date,Status,up_date,part,_merge,node
98,9.3.1,UE to UE call,7f79f4a1264ac6f81dda3f892f0b378c,Compact & Cluster,2023-09-14 00:00:00,OK,2023-9-19,Traffic,both,VS40MSK
99,9.3.8,Emergency call (112),0dd4153dfc6da54dd2cfebb9b5787102,Compact & Cluster,2023-09-14 00:00:00,OK,2023-9-19,Traffic,both,VS40MSK
100,9.4.1,MS to UE Speech Call,8ca6aedd1dca4087bf449612f5d54846,Compact & Cluster,2023-09-14 00:00:00,OK,2023-9-19,Traffic,both,VS40MSK
101,9.5.1,Intra-MSC Handover,6311e6c306450bdca5d9aa639f78bc93,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
102,9.5.2,Inter-MSC Handover,f82d1a3a9a7e2f2bba3ab5bb11ad30a4,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
103,9.5.3,Inter-System Handover (GSM – UMTS),e905511c7c7c6c4151c73b140335e1b6,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
104,9.5.4,Inter-System Handover (UMTS – GSM),485a307d92454667d8e8ed93a31e70e2,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
105,9.6.1,UE to DTMF,f0fb5a780278797ab7e76246bf920f4b,Compact & Cluster,2023-09-14 00:00:00,OK,2023-9-19,Traffic,both,VS40MSK
106,9.6.2,UE to Voice Mail,89334fa829e818f29d7008906cd4739d,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
107,9.6.3,"CAW, HOLD and MPTY",7b437f7d8f175e7c35651592b36077fc,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
108,9.6.4,Call Forwarding Unconditional,ea5a4cb7623aa5142a71dcf7a64e36bc,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
109,9.6.5,Call Forwarding Unconditional (UE1 with COLP),2f1e2555b07ab8051d52c3f3bb41c18e,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
110,9.6.6,Call Forwarding Not Reachable,335a350dff1baec2b89db200758ba20c,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
111,9.6.7,Call Forwarding Not Reachable to VMS,345e7d8e994c604a4a33cd59e5eafb6b,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
112,9.6.8,Call Forwarding No Reply,8bb8a14e6f5236bd80c896e95805437d,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
113,9.6.9,Call Forwarding Busy,3ecd749e50379153f84e8194b5979b22,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
114,9.6.10,Calling Line Identification Presentation,b1dea4a64d7f844a796d2141d4ff583c,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
115,9.6.11,Calling Line Identification Restriction,2b173d309767a10dec56493fc78fa768,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
116,9.6.12,CLIR temporary off for 1 call,036cedefb878a57cbda296d34af279b5,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
117,9.6.13,CLIR temporary on for 1 call,d7c71132c92837832ced6b5090660054,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
118,9.6.14,PRBT service invocation,35e04ec64aa8da32084b3979e116065b,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
119,9.7.1,Barring of all outgoing calls (BAOC),07aab4a577150ba8de1b35f154e19119,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
120,9.7.2,Barring of all outgoing international calls (BOIC),685e784ea3bfdf5d4adeeac7bde4bbab,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
121,9.7.3,Barring of all outgoing international calls excl. HPLMN (BOIEXH),0d12f0b2319ec552d558a53e86e6f0c2,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
122,9.7.4,Barring of all incoming calls (BAIC),55d376dc863c2dffa54c934a60300236,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
123,9.7.5,Barring of all outgoing calls (OBO),5bf3a400c92a6a41da1cd9f705ed576c,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
124,9.8.1,Short SMS,129a3cdf0eeb50759ea101f21f9b411d,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
125,9.8.2,Long SMS,0ef84eb990b70f35327c7d83f5231ccc,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
126,9.8.3,SMS during call,7155543aa4a373349abf1e85144acc3f,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
127,9.9.1,Data call from Mobile to Mobile,67c6ecbcd91c613e8659b3f0c4b01510,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
128,9.9.2,Data call from Mobile to PSTN,2ab47f119fb8711b4f7fa77e738cee05,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
129,9.9.3,Fax call from Mobile to PSTN,dbbef9ff93f0799979dba50d2a41904f,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
130,9.9.4,Fax call from PSTN to Mobile,1174e7f713201a491f42ee339eafd5cf,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
131,9.10.1,USSD Balance Inquiry,ea2aca94e5b174a1b84f2c3891379526,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
132,9.11.1,Enhanced IMEI check,11efa46f237387b311e6ed482756ac49,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
133,9.12.1,Local Subscriber: OPPS,eba1f3287bdc33dfa25c084b5e15a4c5,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
134,9.12.2,Local Subscriber: TPPS,3004503f5d6853bd159ac7bc75057395,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
135,9.12.3,Local Subscriber: OPPS PSTN,6f20e3f4119c966742d33aec6a1f13c1,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
136,9.12.4,Local Subscriber: TPPS PSTN,688230fa85c49b17d99889d6e1cf3687,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
137,9.12.5,Local Subscriber: VMS,6f3e0a73f296d7e87e71ec6d85527ee5,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
138,9.12.6,Local Subscriber: CFNRC to VMS,5a61e00e401b1f52efe1bd3f2f870a30,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
139,9.12.7,Local Subscriber: CFNRY to PSTN,c31d95487fcd7511056eabdcaf76bd2b,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
140,9.12.8,Local Subscriber: CFU,4f5d12ec738096f58ba53f36255c48ee,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
141,9.12.9,Nord West Roamer: OPPS,93bfdb1f29f34584c3478bdcd9acff07,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
142,9.12.10,Nord West Roamer: TPPS,679cb4f4d7b288343cf5e487b4c5a015,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
143,9.12.11,Nord West Roamer: OPPS to PSTN,3fd1ec29b3bda617dee449ae75be69e8,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
144,9.12.12,Nord West Roamer: TPPS from PSTN,74a4a665dced9fde0bd663f330a408a3,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
145,9.12.13,Nord West Roamer: Call to VMS 0600,adc5b8bd556d22fecaba8ec4b1cf1d0b,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
146,9.12.14,Nord West Roamer: CFNRC Call to VMS,8a6c056d7c2a498c5342a11f09988c5f,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
147,9.12.15,Nord West Roamer: CFNRY Call to PSTN,5fd45fb9c14cb5935141068baf2b928d,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
148,9.12.16,Nord West Roamer: CFU Call,7a27da49d5f4a0bcc021db80ceed4962,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
149,9.12.17,Moscow Roamer: OPPS,bc0ff37b4e7fa56519d88d389e6b9750,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
150,9.12.18,Moscow Roamer: TPPS,1ef5845c2f8194cb5e1bb3b9bd51149e,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
151,9.12.19,Moscow Roamer: OPPS to PSTN,be96d07050c7950eb57f40c6a543b8a6,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
152,9.12.20,Moscow Roamer: TPPS from PSTN,d548fdb1a0b90f4959d7a39077849595,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
153,9.12.21,Moscow Roamer: Call to VMS 0600,7cd1d51be869150539dbed9288e0ec0a,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
154,9.12.22,Moscow Roamer: CFNRC Call to VMS,40ee4ffddfd63a077522e4554bb33f6b,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
155,9.12.23,Moscow Roamer: CFNRY Call to PSTN,46b71e2f20ddbe3a8d90f349bdbc86d6,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
156,9.12.24,Moscow Roamer: CFU Call,b5519c30b303e387ce7785aa7f6e1d48,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
157,9.12.25,Central Regional Roamer: OPPS,57e316de521b320bd642ce216b642681,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,Traffic,both,VS40MSK
